"","S02_Normal","S03_Normal","S05_Normal","S06_Normal","S10_Normal","S02_Tumour","S03_Tumour","S05_Tumour","S06_Tumour","S10_Tumour"
"NFATC3",177.648821639379,133.809641697474,165.278828168667,130.695999244162,117.178968116205,66.37096023764,92.9017938319096,133.932374887845,31.7677095131782,249.055382971627
"NUDT5",0,1.96778884849226,52.1076108512054,6.30946203247677,11.4011968977929,0,10.2089883331769,20.9027405894325,46.8951902337393,24.9055382971627
"MLEC",61.5849248349849,100.357231273105,64.3203321444567,110.866261427806,125.413165875722,124.358220234736,81.671906665415,76.6433821612525,96.8158766115908,77.2071687212043
"NCAPD2",45.0043681486428,100.357231273105,0,35.1527170380849,67.7737815591022,64.275035177504,60.2330311657436,10.8384580834094,0,109.584368507516
"NOL3",322.926080224472,263.683705697963,354.168917504287,282.123088023604,226.757138300548,133.440562161992,361.398186994461,397.152071199217,290.447629834772,454.526073923219
"MED1",267.657557936665,287.29717187987,181.562456559669,236.154150358416,245.125733302547,222.168056374416,90.8599961652742,123.868092381822,0,267.734536694499
"MNAT1",104.220642028436,104.29280897009,48.8508851730051,81.1216547032728,74.1077798356538,49.603559756552,109.236175164993,32.5153742502283,3.02549614411221,149.433229782976
"MT1E",18.1596573231366,27.5490438788916,12.2127212932513,26.1391998488323,28.5029922444822,30.041592528616,47.9822451659313,52.6439392622744,0,12.4527691485813
"MX1",862.188947689788,188.907729455257,232.041704571774,480.42046618716,231.190937094134,566.598407923432,161.302015664195,188.898840882279,830.498691558802,169.357660420706
"NDST2",261.341155389487,129.874064000489,298.804580974881,186.579805817527,191.920147779514,252.908290589744,88.8181984986388,252.381238227963,175.478776358508,196.753752547585
"NUDCD3",307.924624174924,318.781793455746,244.254425865026,394.792052889261,304.031917274477,221.469414687704,277.684482662411,151.738413167732,0,175.584044994997
"GLIDR",201.335331191297,200.71446254621,389.178718544941,146.920330184816,198.887545883721,197.715597339496,273.60088732914,420.377338520809,642.917930623845,107.0938146778
"MRPL15",90.0087362972856,110.196175515566,43.1516152361545,82.023006422198,132.380563979929,98.5084778263919,71.4629183322381,212.124108203871,208.759233943743,151.923783612692
"NMT1",118.432547759586,78.7115539396903,166.093009588217,117.175723460283,114.011968977929,67.768243611064,96.9853891651803,95.2235960185258,140.685570701218,175.584044994997
"MCUR1",559.791175743645,442.752490910758,358.239824602037,324.486618813091,544.090451955783,206.797939266752,239.911225829657,234.575199948076,105.892365043927,312.564505629392
"MMP2",34.7402140094786,0,63.5061507249066,14.421627502804,5.70059844889645,43.315784576144,7.14629183322381,14.7093359703414,0,9.96221531886508
"MSMO1",523.471861097372,4311.42536704654,1015.28423017896,244.266315828744,3175.23333603532,396.129836365704,128.633252998029,144.770832971255,3.02549614411221,349.922813075136
"MTMR4",23.6865095519173,114.131753212551,70.8337835008574,44.1662342273374,38.0039896593097,25.151100721632,60.2330311657436,50.3214125301153,0,99.6221531886508
"NCK1",551.106122241275,566.72318836577,747.418543146978,500.250204003515,540.923452817507,412.897236846792,250.120214162833,339.088902895238,3.02549614411221,346.186982330561
"NRIP1",313.451476403705,161.358685576365,345.212921889236,160.440605968695,253.99333088972,526.077190094136,554.348066491504,601.534423629224,184.555264790845,143.206845208685
"MPC2",551.895672559672,1737.55755321866,1152.88089008292,714.771913107726,1106.54949891357,678.381077797352,992.313665984792,697.532195225136,423.56946017571,754.637810404029
"NAPA",32.3715630542869,47.2269323638142,16.2836283910017,53.1797514165899,35.470390348689,9.08234192725599,41.8568521660252,30.1928475180692,66.5609151704686,12.4527691485813
"MCM4",194.229378325722,116.099542061043,173.420642364168,82.9243581411233,193.820347262479,234.743606735232,281.768077995682,290.315841519896,204.220989727574,148.187952868118
"NCAPH",0,19.6778884849226,45.5941594948048,9.91486890817778,14.5681960360687,20.260608914648,73.5047159988735,64.2565729230703,78.6628997469175,92.1504916995019
"NR3C1",408.197514611374,244.00581721304,312.645665107233,332.598784283418,302.131717791512,212.387072760448,90.8599961652742,267.090574198304,145.223814917386,209.206521696167
"MEF2D",322.136529906075,277.458227637408,424.188519585594,405.608273516364,232.457736749444,306.703700466568,126.591455331393,182.705436263188,113.456105404208,67.2449534023393
