"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"STARD9",25.7575630334619,-0.730840317244543,1.03412792371889,-0.706721383768772,0.479739638119801,0.69671710345688
"P2RX7",14.2866303628793,-3.12312930522707,1.68329706130434,-1.85536431864679,0.0635442191194543,0.228745310758702
"HPRT1",140.799330565768,-1.06139016419233,0.817329801380689,-1.2986069544991,0.194078850089832,0.426449544623317
"IGHG1",1687.36922713266,-0.176919469491142,0.795852567886972,-0.222301813966463,0.824078940091255,0.915596975399671
"MSX1",56.0228121883215,-3.28806714841406,1.18369883699004,-2.77779030076189,0.00547299265067185,0.0513277959400846
"TARBP2",18.9786893713999,-0.425793478056175,1.50662622250454,-0.282613877082503,0.777472841461672,0.891534645405131
"ADRA1D",6.54875251192945,0.609495534756393,1.92118467049212,0.317249842827587,0.751054032591643,NA
"DENND1B",141.112097855344,0.380690195437695,0.470095708748568,0.809814232193531,0.418046951555053,0.646487094983822
"IGHG4",5368.56201081207,2.62848671364882,0.645009569650236,4.07511273836471,4.59920603254266e-05,0.00193159246132155
"PMVK",213.197985315383,-0.841472577132746,0.465056595954263,-1.80939822045982,0.0703891594387062,0.242155842719497
"DLG1",721.332061016889,-1.06760071806796,0.297988687463571,-3.58268874954683,0.000340075724402132,0.00801923773368353
"RAPGEF4",87.3289307931142,-0.891147610692695,0.852850147810353,-1.04490526616038,0.296066755644652,0.535125144184421
"CHKB",1817.75238163354,0.446389454266299,0.327223471122878,1.36417309166271,0.172513094917829,0.399430670691218
